"Id","Designator","Package","Quantity","Designation","Supplier and ref",
1,"R3","R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",1,"10M",,,
2,"REF***,REF***","OSHW-Logo2_9.8x8mm_SilkScreen",2,"OSHW-Logo2_7.3x6mm_SilkScreen",,,
3,"U1","DIP-8_W7.62mm_LongPads",1,"TL072",,,
4,"C9","CP_Radial_D6.3mm_P2.50mm",1,"47u",,,
5,"C1,C2,C7","C_Disc_D3.0mm_W1.6mm_P2.50mm",3,"10p",,,
6,"C3,C5,C6,C8,C10","C_Disc_D3.0mm_W1.6mm_P2.50mm",5,"100n",,,
7,"R2","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",1,"15k",,,
8,"R4","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",1,"1k",,,
9,"R5","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",1,"100k",,,
10,"R1","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",1,"4k7",,,
11,"MK7,MK6,MK5","MountingHole_3.2mm_M3_ISO7380_Pad",3,"M3 support",,,
12,"D1,D2,D3,D4","PhotoDiode_DIL2_4.3x4.65_RM5.08",4,"BPW34F",,,
13,"J1","Pin_Header_Straight_1x02_Pitch2.54mm",1,"BNC socket (case mounted)",,,
14,"R6,R7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",2,"10k",,,
15,"BT1","Pin_Header_Straight_1x02_Pitch2.54mm",1,"9V battery clip",,,
16,"C4","C_Trimmer_Murata_TZB4-B",1,"ca. 10-100p",,,
17,"MK1,MK2,MK3,MK4","SolderWirePad_single_0-8mmDrill",4,"via for coincidence sandwich",,,
