References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
BT1,1,9V  clip,Cliff,FC6830,Keystone,232,RS Pro,489021,36-232-ND,534232,489021,,4581763
"C1, C2",2,10pF radial 2.54mm 50V,Multicomp,MC0805N100J101A2.54MM,KEMET,C315C100J5G5TA,,,399-13908-ND,80C315C100J5G,1463557,,1694175
"C3, C5, C7, C10",4,100nF radial 2.54mm 50V,Multicomp,MC0805Y104M500A2.54MM,KEMET,C320C104K1R5TA,,,399-4263-ND,80C320C104K1R,8015404,,2112751
C4,1,470nf radial 2.54mm 50V,KEMET,C320C474M5U5TA,,,,,399-4309-ND,80C320C474M5U,8015394,,1457660
C6,1,3.3nF radial 2.54mm 50V,Suntan,TS170R1H332KSBBA0R,AVX,SR155C332KARTR1,AVX,SR151C332KAR,478-3175-ND,581SR155C332KARTR1,5373606,,2901293
C8,1,47uF 63V THT,Panasonic,ECA-1JHG470,,,,,P5581-ND,667ECA1JHG470,3654357,,9693033
C9,1,6.8nF radial 2.54mm 50V,Suntan,TS170R1H682KSBBA0R,KEMET,C315C682K5R5TA,,,399-4194-ND,80C315C682K5R,1463558,,2901297
D4,1,silicon PIN photodiode,Osram Opto,BPX 61,,,,,475-1350-ND,720BPX61,6547785,,2981630
J3,1,male BNC  connector,Multicomp,13-25,TE Connectivity,5-1634523-1,,,A97548-ND,571516345231,5121174,,1169699
"R1, R4",2,4.7k 1%  axial,Multicomp,MCMF006FF4701A50,TE Connectivity,LR1F4K7,Vishay,MRS25000C4701FCT00,A105962CT-ND,279LR1F4K7,6833799,,2401772
R2,1,15k 1% axial,Multicomp,MCMF006FF1502A50,Vishay,MRS25000C1502FCT00,,,BC4005TB-ND,594MRS25000C1502FCT,6833055,,2401785
R3,1,40Mega 10% 0805 SMD,TE Connectivity,RH73H2A40MKTN,,,,,A106113DKR-ND,279RH73H2A40MKTN,2945040,,1174521
R5,1,1Mega 1% axial,Multicomp,MCMF006FF1003A50,TE Connectivity,LR1F1M0,,,A105954CT-ND,279LR1F1M0,149228,,2401807
"R6, R7, R8",3,10k 1% axial,Multicomp,MCMF006FF1002A50,Vishay,MRS25000C1002FRP00,,,PPC10.0KZCT-ND,594MRS2510K00F,8307501,,2401780
R9,1,2.2k 1% axial,Multicomp,MCMF006FF2201A50,Vishay,MRS25000C2201FCT00,,,BC4060TB-ND,594MRS25000C2201FCT,6833449,,9466711
SW1,1,SPDT switch on-none-on,Multicomp,1MS1T1B1M1QE,TE Connectivity,A101SYZQ04,,,450-1523-ND,506A101SYZQ04,7831264,,9473416
U1,1,TLE2072CP/ACP,Texas Instruments,TLE2072ACP,,,,,296-10423-5-ND,595TLE2072ACP,6611959,,3117956
